artwork_id,artist_name,artwork_name,artwork_year,artwork_classification,artwork_medium,artwork_dimensions,artwork_image_url
72,Cleve Gray,"Study for Mosque, Cordova",1961,Drawings,Pastel and opaque watercolor on paper mounted on board,Sheet: 39 13/16 × 48in. (101.1 × 121.9 cm)   Mount (board): 40 × 48 × 3/16in. (101.6 × 121.9 × 0.5 cm),https://whitneymedia.org/assets/artwork/72/92484.jpeg
73,Mary Heisig,Solitude,1961,Drawings,Casein on paper,Sheet: 25 3/4 × 39 7/8in. (65.4 × 101.3 cm),https://whitneymedia.org/assets/artwork/73/60184.jpeg
74,Paul Brach,New Day,1967,Paintings,Acrylic and oil on canvas,Overall: 65 × 64 13/16in. (165.1 × 164.6 cm),https://whitneymedia.org/assets/artwork/74/141981.jpeg
75,Glenn O. Coleman,Street Bathers,c. 1906,Drawings,Lithographic crayon on paper,Sheet: 11 3/4 × 16in. (29.8 × 40.6 cm),https://whitneymedia.org/assets/artwork/75/46635.jpeg
76,Jean Follett,Lady with the Open Door Stomach,1956,Paintings,Assemblage,Overall: 46 5/8 × 48 × 3in. (118.4 × 121.9 × 7.6 cm),https://whitneymedia.org/assets/artwork/76/141139.jpeg
77,Yasuo Kuniyoshi,Study for Fakirs,c. 1951,Drawings,Graphite pencil on paper,Sheet: 16 7/8 × 12 9/16in. (42.9 × 31.9 cm),https://whitneymedia.org/assets/artwork/77/56639.jpeg
78,Ray Johnson,Anna May Wong,1971,Drawings,"Mixed media, cut postcard, and paper collage on board",Overall: 21 1/2 × 18 × 1in. (54.6 × 45.7 × 2.5 cm),https://whitneymedia.org/assets/artwork/78/92449.jpeg
79,Herbert Ferber,Running Water I,1956,Sculpture,Brazed brass and copper,"Overall: 53 1/16 × 22 9/16 × 7 3/8in. (134.8 × 57.3 × 18.7 cm)   Overall (with wall mount): 60 1/8 × 30 1/16 × 9 1/2in., 49.6lb. (152.7 × 76.4 × 24.1 cm, 22.5kg)",https://whitneymedia.org/assets/artwork/79/146248.jpeg
80,Edward Hopper,(Study of Foliage),n.d.,Drawings,Fabricated chalk on paper,Sheet: 10 1/2 × 16in. (26.7 × 40.6 cm),https://whitneymedia.org/assets/artwork/80/46745.jpeg
81,Alfonso Ossorio,Between,1963,Paintings,"Assemblage and pigmented resin on composition board, with wood frame",Overall: 55 3/16 × 55 3/16 × 4 1/4in. (140.2 × 140.2 × 10.8 cm),https://whitneymedia.org/assets/artwork/81/140247.jpeg
82,Walter De Maria,Bronze Column,1966,Sculpture,Bronze and stainless steel,Overall: 58 1/2 × 3 × 3in. (148.6 × 7.6 × 7.6 cm),https://whitneymedia.org/assets/artwork/82/146262.jpeg
83,Emil Ganso,Factories,1936,Drawings,"Opaque watercolor on paper (recto); Brush and ink, wash, fabricated chalk on paper (verso)",Sheet: 15 1/4 × 22 1/2in. (38.7 × 57.2 cm),https://whitneymedia.org/assets/artwork/83/58710.jpeg
84,Lindsey Decker,Drawing,1963,Drawings,Charcoal and pastel on paper,Sheet: 84 1/8 × 55 1/2in. (213.7 × 141 cm),https://whitneymedia.org/assets/artwork/84/125450.jpeg
85,Morris Kantor,Two Figure Arrangement,1923,Paintings,Oil on burlap,Overall: 45 13/16 × 54in. (116.4 × 137.2 cm),https://whitneymedia.org/assets/artwork/85/139073.jpeg
87,Samuel Halpert,Brooklyn Bridge,1913,Paintings,Oil on canvas,Overall: 34 1/16 × 42 3/16in. (86.5 × 107.2 cm)   Image: 33 1/2 × 41 1/4in. (85.1 × 104.8 cm),https://whitneymedia.org/assets/artwork/87/137510.jpeg
88,William Sommer,Fruit Bowl and Silo,c. 1933–1935,Drawings,Watercolor and pen and ink on paper,Sheet: 11 × 15in. (27.9 × 38.1 cm),https://whitneymedia.org/assets/artwork/88/47854.jpeg
89,Edward Hopper,(Study of Foliage),n.d.,Drawings,Fabricated chalk on paper,Sheet (Irregular): 10 7/16 × 11 13/16in. (26.5 × 30 cm),https://whitneymedia.org/assets/artwork/89/47506.jpeg
90,Mark Baum,Southern Atmosphere,1929,Drawings,Watercolor and graphite pencil on paper,Sheet: 10 × 15in. (25.4 × 38.1 cm),https://whitneymedia.org/assets/artwork/90/46096.jpeg
91,Edward Hopper,Study for Rooms for Tourists,1945,Drawings,Fabricated chalk and graphite pencil on paper,Sheet: 10 3/8 × 15 15/16in. (26.4 × 40.5 cm),https://whitneymedia.org/assets/artwork/91/48574.jpeg
93,Henry Schnakenberg,Forest Carpet,1924,Drawings,Watercolor and graphite pencil on paper,Sheet (Irregular): 12 × 16in. (30.5 × 40.6 cm),https://whitneymedia.org/assets/artwork/93/55014.jpeg
94,Henry Schnakenberg,Ice Pattern,1948,Drawings,Watercolor and graphite pencil on board,Sheet: 15 1/16 × 21 15/16in. (38.3 × 55.7 cm),https://whitneymedia.org/assets/artwork/94/58433.jpeg
95,Henry Schnakenberg,Landscape with Mountain,1927,Drawings,Watercolor and graphite pencil on paper,Sheet: 13 3/4 × 19 5/8in. (34.9 × 49.8 cm),https://whitneymedia.org/assets/artwork/95/56861.jpeg
96,Henry Schnakenberg,S. S. San Lorenzo,1926,Drawings,Watercolor and graphite pencil on paper,Sheet: 14 × 19 15/16in. (35.6 × 50.6 cm),https://whitneymedia.org/assets/artwork/96/58416.jpeg
97,Henry Schnakenberg,Near the Quarry,1930,Drawings,Watercolor and graphite pencil on paper,Sheet: 13 15/16 × 19 13/16in. (35.4 × 50.3 cm),https://whitneymedia.org/assets/artwork/97/56863.jpeg
98,Henry Schnakenberg,Memorial to Summer,1949,Paintings,Oil on linen,Overall: 54 1/8 × 19 1/8in. (137.5 × 48.6 cm),https://whitneymedia.org/assets/artwork/98/137894.jpeg
99,Henry Schnakenberg,The Palisades,1941,Paintings,Oil on canvas,Overall: 36 1/16 × 50 1/16in. (91.6 × 127.2 cm),https://whitneymedia.org/assets/artwork/99/137953.jpeg
100,Henry Schnakenberg,Conversation,1930,Paintings,Oil on linen,Overall: 50 1/4 × 36 1/4in. (127.6 × 92.1 cm),https://whitneymedia.org/assets/artwork/100/137751.jpeg
101,Robert Morris,Golden Memories,1963,Sculpture,"Painted wood, metal, and rope",Overall: 5 7/8 × 28 5/16 × 5 3/4in. (14.9 × 71.9 × 14.6 cm),https://whitneymedia.org/assets/artwork/101/148527.jpeg
103,Jan Matulka,"Hopi Snake Dance, Number II",1917–1918,Drawings,"Wax crayon, watercolor and graphite pencil on paper",Sheet: 14 15/16 × 12in. (37.9 × 30.5 cm),https://whitneymedia.org/assets/artwork/103/57992.jpeg
104,Dean Fausett,Moonlight,1940,Paintings,Oil and tempera on canvas,Overall: 24 × 36 3/16in. (61 × 91.9 cm),https://whitneymedia.org/assets/artwork/104/135246.jpeg
105,Robert Irwin,Interior/Exterior Window/Picture Planes Project Proposal Leo Castelli Gallery/Downtown,1977,Drawings,"Pen and ink, transfer type, and graphite pencil on paper",Sheet: 24 × 27 5/8in. (61 × 70.2 cm),https://whitneymedia.org/assets/artwork/105/59458.jpeg
106,William Bailey,Eggs,1974,Paintings,Oil on linen,Overall: 34 9/16 × 45in. (87.8 × 114.3 cm),https://whitneymedia.org/assets/artwork/106/137536.jpeg
107,Walt Kuhn,The Blue Clown,1931,Paintings,Oil on canvas,Overall: 30 1/4 × 25 3/16in. (76.8 × 64 cm),https://whitneymedia.org/assets/artwork/107/139047.jpeg
108,Allen Saalburg,"Design for set ""Southern Street"" from ""Green Pastures""",c. 1935,Drawings,Opaque watercolor and graphite pencil on paper on board,Sheet (Irregular): 14 1/4 × 19 1/4in. (36.2 × 48.9 cm),https://whitney.org/packs/media/images/image_not_available-41f6f160158e04bac951977ca58dcb01.svg
109,Elsie Driggs,Study for Blast Furnace,1927,Drawings,Graphite pencil on paper,Sheet: 12 1/16 × 18 1/16in. (30.6 × 45.9 cm),https://whitneymedia.org/assets/artwork/109/56603.jpeg
110,Julian Levi,Cape Cod Morning,1944,Drawings,Opaque watercolor on paper,Sheet (Irregular): 16 7/8 × 20 1/2in. (42.9 × 52.1 cm),https://whitneymedia.org/assets/artwork/110/84933.jpeg
111,Ad Reinhardt,Untitled,1949,Drawings,"Opaque watercolor, pen, and brush and ink on paper",Sheet: 22 1/2 × 31in. (57.2 × 78.7 cm),https://whitneymedia.org/assets/artwork/111/59477.jpeg
112,Edwin Dickinson,Window and Oar,1955,Paintings,Oil on composition board,Overall: 12 × 16in. (30.5 × 40.6 cm),https://whitneymedia.org/assets/artwork/112/131945.jpeg
113,Edwin Dickinson,The Fossil Hunters,1926–1928,Paintings,Oil on canvas,Overall: 96 3/4 × 72 5/8in. (245.7 × 184.5 cm),https://whitneymedia.org/assets/artwork/113/142950.jpeg
114,Morris Kantor,Skyrocket,1933,Paintings,Oil on linen,Overall: 28 × 24 1/16in. (71.1 × 61.1 cm),https://whitneymedia.org/assets/artwork/114/132190.jpeg
115,Philip Guston,"Ink Drawing, 1952",1952,Drawings,Brush and ink on paper,Sheet: 18 3/4 × 23 3/4in. (47.6 × 60.3 cm),https://whitneymedia.org/assets/artwork/115/58777.jpeg
116,E.E. Cummings,Untitled (Man with Pipe),1920s,Drawings,Graphite pencil on paper,Sheet (Irregular): 10 7/16 × 8 1/4in. (26.5 × 21 cm),https://whitneymedia.org/assets/artwork/116/166616.jpeg
117,Louise Nevelson,Rain Forest Column III,1967,Sculpture,Painted wood,Overall (with base): 122 9/16 × 7 3/4 × 7 7/8in. (311.3 × 19.7 × 20 cm)   Overall: 112 1/2 × 7 3/4 × 7 7/8in. (285.8 × 19.7 × 20 cm),https://whitney.org/packs/media/images/image_not_available-41f6f160158e04bac951977ca58dcb01.svg
